品种：苹果AP     日期：2021-04-06,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,西南期货,10,0,长江期货,23,0
2,平安期货,8,0,天风期货,7,0
3,兴证期货,3,0,东航期货,4,0
4,中信期货,2,0,弘业期货,1,-1
5,东证期货,2,0,东吴期货,1,0
6,华泰期货,1,0,华泰期货,0,0
7,弘业期货,1,0,上海大陆,0,0
8,徽商期货,1,0,徽商期货,0,0
9,鲁证期货,1,0,中信期货,0,0
10,中粮期货,1,0,鲁证期货,0,0
11,长江期货,1,0,中粮期货,0,0
12,海通期货,1,0,西南期货,0,0
13,中原期货,1,0,海通期货,0,0
14,东吴期货,1,0,中原期货,0,0
15,中辉期货,1,0,东证期货,0,0
16,华闻期货,1,0,山西三立,0,0
17,上海大陆,0,-1,中辉期货,0,0
18,山西三立,0,0,兴证期货,0,0
19,东航期货,0,0,华闻期货,0,0
20,天风期货,0,0,平安期货,0,0
合计,,36,-1,,36,-1
品种：甲醇MA     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,中信期货,"88,119","7,039",中信期货,"93,452","4,906"
2,东证期货,"64,211","-59,957",东证期货,"66,558","-52,900"
3,东吴期货,"49,462","-2,745",永安期货,"62,990",-160
4,光大期货,"46,654",-456,东吴期货,"53,079",-784
5,新湖期货,"45,867","6,631",银河期货,"51,989","3,106"
6,银河期货,"45,472","1,775",新湖期货,"47,134","5,846"
7,国泰君安,"39,022",316,光大期货,"43,147","-2,829"
8,海通期货,"27,838","-2,137",华泰期货,"28,619","-2,850"
9,华泰期货,"27,758","-1,583",华闻期货,"28,591","-6,759"
10,华闻期货,"27,492","-6,881",国泰君安,"25,438","-1,123"
11,永安期货,"26,614","4,456",广发期货,"21,545",791
12,徽商期货,"26,463",775,徽商期货,"20,103",16
13,冠通期货,"20,424","-10,179",瑞达期货,"20,025",-317
14,创元期货,"20,400",-888,海通期货,"19,878","-4,088"
15,广发期货,"19,543",422,冠通期货,"19,059","-10,754"
16,国富期货,"19,052","-2,517",创元期货,"18,341",-525
17,方正中期,"17,621",-40,方正中期,"17,657","1,587"
18,中辉期货,"17,509",858,国富期货,"16,465","-4,190"
19,中信建投,"17,238",-681,宏源期货,"15,292",-369
20,瑞达期货,"16,534",-885,中粮期货,"14,854",509
合计,,"663,293","-66,677",,"684,216","-70,887"
品种：菜油OI     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,中粮期货,"15,802","2,077",中粮期货,"36,392",213
2,国富期货,"13,922","-2,980",光大期货,"15,874",301
3,中信期货,"13,556",180,国投安信期货,"13,886",-765
4,东证期货,"11,546",469,中信期货,"10,485",463
5,建信期货,"8,835",58,安粮期货,"9,513",264
6,国泰君安,"7,082",725,瑞达期货,"6,999",473
7,申银万国,"7,052",-932,英大期货,"6,438",-1
8,西部期货,"6,228",-65,东证期货,"6,304",70
9,国盛期货,"5,832",114,永安期货,"5,867",-232
10,银河期货,"5,509",-115,海通期货,"4,763","1,241"
11,中信建投,"5,263",-795,中信建投,"4,748",-971
12,华泰期货,"5,199",128,兴证期货,"4,733",-72
13,国投安信期货,"4,998",561,国盛期货,"3,728",114
14,永安期货,"4,953",47,华泰期货,"3,632",-284
15,光大期货,"4,533",-313,信达期货,"3,375",-8
16,海通期货,"4,292",401,大有期货,"2,890",168
17,长安期货,"3,681","-1,829",徽商期货,"2,645",170
18,兴证期货,"3,358",653,摩根大通,"2,473",0
19,大有期货,"2,871",181,方正中期,"2,445",-12
20,浙商期货,"2,815",-69,银河期货,"2,399",-8
合计,,"137,327","-1,504",,"149,589","1,124"
品种：短纤PF     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,永安期货,"28,165",264,永安期货,"42,402",-209
2,五矿经易期货,"9,094",-20,申银万国,"11,497",30
3,国泰君安,"8,945",-546,国泰君安,"11,408",297
4,银河期货,"8,683",7,国贸期货,"8,461",-95
5,浙商期货,"6,974","2,743",银河期货,"8,430",-386
6,徽商期货,"6,863",366,五矿经易期货,"7,939",-386
7,申银万国,"6,191",-81,中信期货,"6,226",-291
8,东吴期货,"5,242",-499,宝城期货,"6,156",-364
9,鲁证期货,"4,433",-393,光大期货,"5,280",276
10,中信期货,"4,336",936,方正中期,"4,681",-275
11,国贸期货,"4,310","-1,385",东吴期货,"4,075",653
12,平安期货,"4,269",-318,华泰期货,"3,567",446
13,东证期货,"4,256",-275,中粮期货,"3,391",26
14,南华期货,"4,147","-1,117",国投安信期货,"3,235",319
15,光大期货,"3,838",549,浙商期货,"3,176",-78
16,华泰期货,"3,745",-125,徽商期货,"3,003",-105
17,方正中期,"3,492",-207,鲁证期货,"2,831",44
18,东海期货,"3,462","-1,969",广发期货,"2,816",225
19,国信期货,"3,309",-182,南华期货,"2,730",-66
20,中信建投,"3,077",-300,瑞达期货,"2,710",13
合计,,"126,831","-2,552",,"144,014",74
品种：花生PK     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,汇鑫期货,"1,051",-4,国投安信期货,768,0
2,一德期货,477,10,东海期货,495,0
3,国信期货,415,0,中粮期货,454,2
4,东吴期货,402,9,美尔雅,427,14
5,中信建投,397,17,一德期货,384,0
6,国泰君安,378,49,弘业期货,366,20
7,广发期货,371,6,鲁证期货,356,50
8,美尔雅,344,-22,银河期货,328,3
9,长江期货,305,12,华泰期货,305,93
10,中信期货,288,-8,浙商期货,302,-1
11,天风期货,275,0,东航期货,302,-3
12,永安期货,259,-10,宏源期货,298,-4
13,招商期货,253,-2,天风期货,274,-5
14,银河期货,252,5,国信期货,270,2
15,东方财富,252,17,招金期货,259,1
16,宏源期货,235,31,中信建投,251,5
17,华安期货,234,29,长江期货,244,9
18,首创期货,234,0,首创期货,238,-2
19,鲁证期货,233,-1,国泰君安,212,13
20,徽商期货,230,6,永安期货,192,-12
